architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,2000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.070845,,,0.28042,1,0.046265,0.9451,0.76777,0.98853,39345,0.19673,0.28959,0.20793,0.05-0.95,0.16814,61.1,2026-08-04T02:05:47Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,2000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.06928,,,0.28042,1,0.046265,0.9469,0.77321,0.98944,39345,0.19673,0.28512,0.20793,0.05-0.95,0.16615,60.8,2026-08-04T02:07:01Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,2000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.06872,,,0.28042,1,0.046265,0.94686,0.77354,0.98931,39345,0.19673,0.28082,0.20793,0.05-0.95,0.16413,60.4,2026-08-04T02:08:13Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,300000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.1296,,,0.28042,1,0.046265,0.88067,0.66476,0.93354,39345,0.19673,0.36968,0.20793,0.05-0.95,0.28321,12.3,2026-08-04T02:02:45Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,300000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.132145,,,0.28042,1,0.046265,0.87883,0.66466,0.93128,39345,0.19673,0.37364,0.20793,0.05-0.95,0.28891,12.2,2026-08-04T02:03:08Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,300000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.129525,,,0.28042,1,0.046265,0.88066,0.66247,0.93409,39345,0.19673,0.37207,0.20793,0.05-0.95,0.2815,12.1,2026-08-04T02:03:30Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,5000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.056315,,,0.28042,1,0.046265,0.96215,0.82239,0.99638,39345,0.19673,0.2459,0.20793,0.05-0.95,0.13948,145.3,2026-08-04T02:09:29Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,5000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.057105,,,0.28042,1,0.046265,0.96145,0.81967,0.99617,39345,0.19673,0.24872,0.20793,0.05-0.95,0.14107,204.8,2026-08-04T02:12:09Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,5000000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.05715,,,0.28042,1,0.046265,0.96013,0.81474,0.99574,39345,0.19673,0.24771,0.20793,0.05-0.95,0.1412,145.2,2026-08-04T02:15:50Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,800000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.095405,,,0.28042,1,0.046265,0.91815,0.71414,0.96811,39345,0.19673,0.33346,0.20793,0.05-0.95,0.21911,26.9,2026-08-04T02:03:53Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,800000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.09402,,,0.28042,1,0.046265,0.91883,0.71267,0.96931,39345,0.19673,0.3326,0.20793,0.05-0.95,0.21452,26.8,2026-08-04T02:04:31Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,800000,200000,1.0,1.0,0.003,,,,119,51528,50,50,10000,0.095395,,,0.28042,1,0.046265,0.91765,0.71163,0.96811,39345,0.19673,0.33445,0.20793,0.05-0.95,0.21759,26.7,2026-08-04T02:05:08Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
mlp_student,mlp,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,192-192,,51265,50,50,10000,0.049415,,,0.28042,1,0.046265,0.97466,0.87325,0.9995,39345,0.19673,0.22229,0.20793,0.05-0.95,0.13141,125.9,2026-08-03T19:53:40Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
