architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,100000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.18226,0.04875,3.7387,0.28042,1,0.046265,0.82554,0.62051,0.87576,39345,0.19673,0.40651,0.20793,0.05-0.95,0.37231,5.3,2026-08-02T04:19:27Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,100000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.1825,0.04875,3.7436,0.28042,1,0.046265,0.82542,0.62348,0.87487,39345,0.19673,0.4043,0.20793,0.05-0.95,0.37395,5.2,2026-08-02T04:19:42Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,100000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.182335,0.04875,3.7402,0.28042,1,0.046265,0.8256,0.62165,0.87555,39345,0.19673,0.40653,0.20793,0.05-0.95,0.36974,5.3,2026-08-02T04:19:56Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,2000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.0751,0.04875,1.5405,0.28042,1,0.046265,0.94098,0.76035,0.98521,39345,0.19673,0.29783,0.20793,0.05-0.95,0.17537,42.9,2026-08-02T04:22:40Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,2000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.072365,0.04875,1.4844,0.28042,1,0.046265,0.94396,0.76538,0.98769,39345,0.19673,0.29356,0.20793,0.05-0.95,0.16963,43.9,2026-08-02T04:23:34Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,2000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.077495,0.04875,1.5896,0.28042,1,0.046265,0.93775,0.74963,0.98382,39345,0.19673,0.30479,0.20793,0.05-0.95,0.18026,42.9,2026-08-02T04:24:29Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,300000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.13708,0.04875,2.8119,0.28042,1,0.046265,0.87289,0.65592,0.92602,39345,0.19673,0.37812,0.20793,0.05-0.95,0.29434,9.7,2026-08-02T04:20:11Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,300000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.140855,0.04875,2.8893,0.28042,1,0.046265,0.86861,0.65381,0.92122,39345,0.19673,0.37789,0.20793,0.05-0.95,0.30013,9.4,2026-08-02T04:20:31Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,300000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.136385,0.04875,2.7976,0.28042,1,0.046265,0.87378,0.65853,0.92649,39345,0.19673,0.37677,0.20793,0.05-0.95,0.29081,9.6,2026-08-02T04:20:50Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,5000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.06252,0.04875,1.2825,0.28042,1,0.046265,0.9551,0.79794,0.99358,39345,0.19673,0.26613,0.20793,0.05-0.95,0.15117,99.4,2026-08-02T04:25:27Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,5000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.065845,0.04875,1.3507,0.28042,1,0.046265,0.95141,0.78678,0.99173,39345,0.19673,0.27643,0.20793,0.05-0.95,0.15674,99.3,2026-08-02T04:27:21Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,5000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.061535,0.04875,1.2623,0.28042,1,0.046265,0.9572,0.80473,0.99454,39345,0.19673,0.26524,0.20793,0.05-0.95,0.1489,100.0,2026-08-02T04:29:16Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,800000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.107655,0.04875,2.2083,0.28042,1,0.046265,0.90338,0.68512,0.95683,39345,0.19673,0.351,0.20793,0.05-0.95,0.23977,19.2,2026-08-02T04:21:10Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,800000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.10354,0.04875,2.1239,0.28042,1,0.046265,0.90807,0.69457,0.96036,39345,0.19673,0.34485,0.20793,0.05-0.95,0.23384,19.2,2026-08-02T04:21:40Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,800000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.10667,0.04875,2.1881,0.28042,1,0.046265,0.90512,0.68949,0.95793,39345,0.19673,0.3513,0.20793,0.05-0.95,0.23574,18.6,2026-08-02T04:22:09Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.052895,0.04875,1.085,0.28042,1,0.046265,0.97027,0.85266,0.99907,39345,0.19673,0.23845,0.20793,0.05-0.95,0.13694,120.1,2026-08-02T04:50:22Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,10000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.054295,0.04875,1.1137,0.28042,1,0.046265,0.96844,0.84501,0.99867,39345,0.19673,0.24397,0.20793,0.05-0.95,0.13994,122.0,2026-08-02T04:52:35Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,10000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.053325,0.04875,1.0938,0.28042,1,0.046265,0.96947,0.84951,0.99885,39345,0.19673,0.23967,0.20793,0.05-0.95,0.13859,118.2,2026-08-02T04:54:50Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,100000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.15925,0.04875,3.2667,0.28042,1,0.046265,0.84976,0.62877,0.90387,39345,0.19673,0.4018,0.20793,0.05-0.95,0.34376,4.0,2026-08-02T04:42:02Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,100000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.15925,0.04875,3.2667,0.28042,1,0.046265,0.84976,0.62877,0.90387,39345,0.19673,0.4018,0.20793,0.05-0.95,0.34376,4.1,2026-08-02T03:59:03Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,100000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.16019,0.04875,3.2859,0.28042,1,0.046265,0.84838,0.62468,0.90317,39345,0.19673,0.40432,0.20793,0.05-0.95,0.34265,4.0,2026-08-02T04:42:15Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,100000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.1578,0.04875,3.2369,0.28042,1,0.046265,0.85118,0.6318,0.9049,39345,0.19673,0.39883,0.20793,0.05-0.95,0.34311,4.3,2026-08-02T04:42:28Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,2000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.06192,0.04875,1.2702,0.28042,1,0.046265,0.95847,0.80701,0.99557,39345,0.19673,0.27083,0.20793,0.05-0.95,0.15328,26.1,2026-08-02T04:44:36Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,2000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.064,0.04875,1.3128,0.28042,1,0.046265,0.95534,0.7969,0.99414,39345,0.19673,0.27632,0.20793,0.05-0.95,0.15902,25.4,2026-08-02T04:45:12Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,2000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.06184,0.04875,1.2685,0.28042,1,0.046265,0.95769,0.80813,0.99431,39345,0.19673,0.26545,0.20793,0.05-0.95,0.15433,42.1,2026-08-02T04:45:48Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.09267,0.04875,1.9009,0.28042,1,0.046265,0.9208,0.70728,0.9731,39345,0.19673,0.3392,0.20793,0.05-0.95,0.21366,6.7,2026-08-02T04:42:42Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.09267,0.04875,1.9009,0.28042,1,0.046265,0.9208,0.70728,0.9731,39345,0.19673,0.3392,0.20793,0.05-0.95,0.21366,6.5,2026-08-02T03:59:16Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,300000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.100615,0.04875,2.0639,0.28042,1,0.046265,0.91255,0.69267,0.9664,39345,0.19673,0.35346,0.20793,0.05-0.95,0.22693,6.3,2026-08-02T04:42:58Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,300000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.103795,0.04875,2.1291,0.28042,1,0.046265,0.90906,0.69493,0.9615,39345,0.19673,0.34998,0.20793,0.05-0.95,0.23736,6.4,2026-08-02T04:43:14Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,5000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.055105,0.04875,1.1304,0.28042,1,0.046265,0.96728,0.83988,0.99848,39345,0.19673,0.24753,0.20793,0.05-0.95,0.14173,61.1,2026-08-02T04:46:41Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,5000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.056315,0.04875,1.1552,0.28042,1,0.046265,0.96654,0.83762,0.99811,39345,0.19673,0.25238,0.20793,0.05-0.95,0.14284,61.1,2026-08-02T04:47:53Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,5000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.055975,0.04875,1.1482,0.28042,1,0.046265,0.96569,0.83685,0.99724,39345,0.19673,0.24705,0.20793,0.05-0.95,0.14293,62.9,2026-08-02T04:49:06Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
