architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
mlp_student,mlp,evts,5,0.01,5,0,10000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09613,,,0.35539,1,0.081585,0.93853,0.82621,0.99775,69048,0.34524,0.25578,0.21746,0.05-0.95,0.23812,153.0,2026-08-06T16:10:09Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,1,10000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09572,,,0.35539,1,0.081585,0.94002,0.83078,0.99763,69048,0.34524,0.25445,0.21746,0.05-0.95,0.23669,152.5,2026-08-06T16:13:21Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,2,10000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.0964,,,0.35539,1,0.081585,0.93915,0.8287,0.99738,69048,0.34524,0.25613,0.21746,0.05-0.95,0.23735,154.1,2026-08-06T16:16:31Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,0,100000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.305165,,,0.35539,1,0.081585,0.70502,0.57661,0.77273,69048,0.34524,0.44634,0.21746,0.05-0.95,0.54309,7.6,2026-08-06T15:54:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,1,100000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.292075,,,0.35539,1,0.081585,0.71791,0.58355,0.78875,69048,0.34524,0.43909,0.21746,0.05-0.95,0.5379,7.6,2026-08-06T15:55:31Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,2,100000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.30316,,,0.35539,1,0.081585,0.70539,0.57311,0.77515,69048,0.34524,0.44501,0.21746,0.05-0.95,0.54156,7.3,2026-08-06T15:56:06Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,0,20000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.092745,,,0.35539,1,0.081585,0.94243,0.83652,0.99827,69048,0.34524,0.24686,0.21746,0.05-0.95,0.23308,308.2,2026-08-06T16:19:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,1,20000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09457,,,0.35539,1,0.081585,0.94056,0.83167,0.99798,69048,0.34524,0.25171,0.21746,0.05-0.95,0.2338,306.1,2026-08-06T16:25:48Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,2,20000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09282,,,0.35539,1,0.081585,0.94259,0.83635,0.9986,69048,0.34524,0.24776,0.21746,0.05-0.95,0.23119,304.7,2026-08-06T16:31:41Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
mlp_student,mlp,evts,5,0.01,5,0,2000000,200000,0.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.111565,,,0.35539,1,0.081585,0.91823,0.78101,0.99058,69048,0.34524,0.28818,0.21746,0.05-0.95,0.26231,36.5,2026-08-06T16:00:57Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
